High,Low,Open,Close,Volume,Adj Close
313.20001220703125,303.0,303.0,312.1499938964844,3499615.0,142.25962829589844
329.75,315.70001220703125,315.70001220703125,327.20001220703125,6951091.0,149.1185302734375
330.79998779296875,321.75,327.8999938964844,326.70001220703125,3565108.0,148.890625
327.95001220703125,313.5,324.0,320.54998779296875,6830098.0,146.0878143310547
322.79998779296875,315.8999938964844,315.8999938964844,318.04998779296875,2714233.0,144.94847106933594
322.0,312.29998779296875,320.0,313.8999938964844,3237127.0,143.05714416503906
321.29998779296875,315.3500061035156,316.95001220703125,318.04998779296875,3556640.0,144.94847106933594
323.3500061035156,316.3500061035156,318.70001220703125,320.3999938964844,2652061.0,146.0194549560547
327.79998779296875,318.0,321.70001220703125,325.6499938964844,4866674.0,148.4121551513672
345.8999938964844,327.0,327.0,343.79998779296875,9030615.0,156.68382263183594
346.79998779296875,339.0,343.45001220703125,340.79998779296875,3405645.0,155.3166046142578
355.0,343.0,343.0,351.75,5299117.0,160.3069305419922
358.29998779296875,336.5,353.1000061035156,339.79998779296875,7110166.0,154.86083984375
351.20001220703125,338.0,341.0,349.8999938964844,3572813.0,159.46380615234375
351.95001220703125,336.1000061035156,351.95001220703125,344.79998779296875,3705887.0,157.13955688476562
342.3999938964844,332.20001220703125,341.20001220703125,335.0,2654998.0,152.67332458496094
337.79998779296875,328.3500061035156,332.5,329.95001220703125,4062908.0,150.371826171875
345.79998779296875,331.04998779296875,332.0,342.8999938964844,5152317.0,156.273681640625
348.0,339.1000061035156,345.29998779296875,341.95001220703125,3135118.0,155.8406982421875
341.0,332.8999938964844,338.6000061035156,335.6499938964844,2829375.0,152.9695281982422
337.5,323.5,335.0,327.20001220703125,6397212.0,149.1185302734375
327.0,315.70001220703125,327.0,317.0,10018128.0,144.46994018554688
324.75,319.5,320.95001220703125,322.0,6184145.0,146.7486572265625
329.5,323.45001220703125,325.0,327.3500061035156,3378677.0,149.18685913085938
333.25,326.1499938964844,331.0,328.25,3120365.0,149.59706115722656
334.95001220703125,324.5,334.95001220703125,325.8500061035156,1900153.0,148.5032501220703
335.6499938964844,326.25,326.25,333.29998779296875,3911363.0,151.89852905273438
336.3500061035156,331.3500061035156,333.0,333.29998779296875,3161155.0,151.89852905273438
334.75,327.5,333.29998779296875,331.8500061035156,3588782.0,151.23770141601562
340.3500061035156,333.3999938964844,335.0,336.6000061035156,4388141.0,153.4024658203125
339.8500061035156,332.29998779296875,337.79998779296875,334.3500061035156,2450641.0,152.37704467773438
343.95001220703125,337.04998779296875,339.0,339.8500061035156,4463513.0,154.88360595703125
339.75,319.04998779296875,339.04998779296875,320.04998779296875,16369724.0,145.85997009277344
332.5,322.8999938964844,325.0,323.79998779296875,10576465.0,147.56900024414062
328.8999938964844,320.1000061035156,325.0,326.0,5880975.0,148.57162475585938
330.6000061035156,320.0,327.0,322.1499938964844,3968025.0,146.8170166015625
325.75,318.0,321.0,322.75,3360240.0,147.09043884277344
330.54998779296875,320.70001220703125,322.0,327.6499938964844,4222023.0,149.32359313964844
330.8999938964844,317.1000061035156,329.0,323.1000061035156,4789844.0,147.25
331.45001220703125,323.5,323.95001220703125,330.45001220703125,2773113.0,150.5996856689453
335.79998779296875,331.1499938964844,331.1499938964844,334.5,2881804.0,152.44540405273438
338.5,331.0,333.8999938964844,334.5,2738044.0,152.44540405273438
335.6000061035156,329.3500061035156,334.5,332.1499938964844,1871139.0,151.37445068359375
330.8999938964844,325.3500061035156,329.8999938964844,327.8500061035156,1182214.0,149.41476440429688
335.8999938964844,325.0,327.0,330.1499938964844,2452725.0,150.46295166015625
330.6000061035156,323.6000061035156,329.75,326.8999938964844,1867060.0,148.98179626464844
337.75,329.0,329.0,336.04998779296875,2190819.0,153.1517791748047
341.5,335.6499938964844,339.0,337.45001220703125,2081580.0,153.78985595703125
345.70001220703125,339.04998779296875,341.20001220703125,343.3500061035156,3112273.0,156.47872924804688
349.70001220703125,344.0,345.54998779296875,348.04998779296875,6289523.0,158.62071228027344
341.6000061035156,336.04998779296875,340.79998779296875,340.5,2943615.0,159.5343475341797
348.8500061035156,339.0,340.5,341.6499938964844,5726497.0,160.07318115234375
341.1499938964844,333.0,336.29998779296875,334.79998779296875,1523499.0,156.86373901367188
335.25,325.5,332.6000061035156,326.54998779296875,3024480.0,152.9983673095703
333.0,327.25,327.25,331.1499938964844,2308361.0,155.15357971191406
344.54998779296875,329.6000061035156,330.70001220703125,338.6499938964844,6022192.0,158.66757202148438
342.8999938964844,330.29998779296875,339.8999938964844,334.8500061035156,1996054.0,156.88714599609375
336.6499938964844,328.6000061035156,334.0,331.95001220703125,1653792.0,155.5283966064453
334.79998779296875,325.3999938964844,333.0,330.8999938964844,4081274.0,155.0364532470703
333.1000061035156,328.1000061035156,332.04998779296875,331.6000061035156,1603380.0,155.36439514160156
340.3999938964844,330.0,330.0,332.79998779296875,5451105.0,155.9266815185547
349.0,332.6000061035156,333.20001220703125,343.8999938964844,2711580.0,161.1273651123047
343.29998779296875,335.1000061035156,340.0,341.20001220703125,2427033.0,159.8623046875
347.29998779296875,340.54998779296875,342.8999938964844,343.29998779296875,1424419.0,160.84622192382812
344.70001220703125,334.6000061035156,337.0,341.6000061035156,2287795.0,160.0497283935547
342.29998779296875,336.0,336.3999938964844,336.45001220703125,892507.0,157.63681030273438
337.79998779296875,331.0,337.1000061035156,333.29998779296875,873331.0,156.16091918945312
336.6000061035156,328.5,330.0,331.04998779296875,1699275.0,155.1067352294922
335.75,331.75,333.0,333.1499938964844,1201944.0,156.09066772460938
