High,Low,Open,Close,Volume,Adj Close,Date
238.60000610351562,237.10000610351562,238.60000610351562,238.10000610351562,4208837.0,210.36598205566406,2020-01-01
240.9499969482422,238.10000610351562,238.1999969482422,239.85000610351562,8402979.0,211.91212463378906,2020-01-02
241.0,238.0,241.0,238.5,9284478.0,210.71937561035156,2020-01-03
238.3000030517578,235.0,237.5,235.10000610351562,7636617.0,207.7154083251953,2020-01-06
237.89999389648438,234.60000610351562,236.0500030517578,235.35000610351562,8416741.0,207.93629455566406,2020-01-07
235.8000030517578,233.25,234.0,234.1999969482422,7043211.0,206.9202423095703,2020-01-08
236.60000610351562,235.0500030517578,235.60000610351562,235.8000030517578,9452653.0,208.33387756347656,2020-01-09
238.75,236.8000030517578,237.60000610351562,238.0,9973746.0,210.2776336669922,2020-01-10
240.5,238.25,238.5,239.25,12243639.0,211.38201904296875,2020-01-13
243.8000030517578,238.3000030517578,240.25,243.25,11843444.0,214.9160919189453,2020-01-14
243.0,241.10000610351562,242.5500030517578,242.39999389648438,5476729.0,214.1650848388672,2020-01-15
243.89999389648438,240.10000610351562,242.5,240.75,9369668.0,212.70729064941406,2020-01-16
242.10000610351562,239.39999389648438,240.75,239.9499969482422,7392403.0,212.00048828125,2020-01-17
243.25,240.0500030517578,240.0500030517578,241.89999389648438,8020816.0,213.72332763671875,2020-01-20
241.4499969482422,238.0,241.4499969482422,238.4499969482422,9571070.0,210.67518615722656,2020-01-21
239.60000610351562,237.10000610351562,239.60000610351562,238.0500030517578,7654918.0,210.32179260253906,2020-01-22
238.75,236.89999389648438,238.10000610351562,237.89999389648438,6120434.0,210.1892547607422,2020-01-23
239.10000610351562,237.0,237.39999389648438,238.14999389648438,6801874.0,210.41014099121094,2020-01-24
237.39999389648438,234.3000030517578,237.0,234.60000610351562,6837613.0,207.27366638183594,2020-01-27
235.89999389648438,230.5,234.75,230.75,14582907.0,203.87210083007812,2020-01-28
237.64999389648438,231.14999389648438,231.5,236.64999389648438,20469708.0,209.08485412597656,2020-01-29
237.0,233.0,236.9499969482422,234.0500030517578,10394149.0,206.7877197265625,2020-01-30
238.39999389648438,234.0500030517578,235.75,235.14999389648438,18455880.0,207.7595977783203,2020-01-31
216.89999389648438,205.0,215.0,207.60000610351562,79764370.0,183.41864013671875,2020-02-03
217.60000610351562,209.14999389648438,210.8000030517578,215.64999389648438,35767812.0,190.5309600830078,2020-02-04
