Close,Date
121.19999694824219,2020-01-01
123.55000305175781,2020-01-02
125.6500015258789,2020-01-03
124.3499984741211,2020-01-06
124.44999694824219,2020-01-07
123.9000015258789,2020-01-08
123.69999694824219,2020-01-09
125.3499984741211,2020-01-10
128.89999389648438,2020-01-13
130.0500030517578,2020-01-14
131.64999389648438,2020-01-15
128.75,2020-01-16
126.3499984741211,2020-01-17
127.80000305175781,2020-01-20
126.75,2020-01-21
125.9000015258789,2020-01-22
129.64999389648438,2020-01-23
129.5,2020-01-24
126.75,2020-01-27
126.1500015258789,2020-01-28
126.25,2020-01-29
123.3499984741211,2020-01-30
120.44999694824219,2020-01-31
114.5,2020-02-03
118.9000015258789,2020-02-04
120.94999694824219,2020-02-05
123.69999694824219,2020-02-06
123.0,2020-02-07
121.80000305175781,2020-02-10
129.14999389648438,2020-02-11
130.35000610351562,2020-02-12
130.3000030517578,2020-02-13
122.55000305175781,2020-02-14
118.0,2020-02-17
119.44999694824219,2020-02-18
119.8499984741211,2020-02-19
119.30000305175781,2020-02-20
116.80000305175781,2020-02-24
114.0,2020-02-25
108.05000305175781,2020-02-26
107.3499984741211,2020-02-27
104.4000015258789,2020-02-28
99.6500015258789,2020-03-02
103.19999694824219,2020-03-03
106.05000305175781,2020-03-04
106.80000305175781,2020-03-05
107.80000305175781,2020-03-06
100.44999694824219,2020-03-09
90.5,2020-03-11
79.94999694824219,2020-03-12
84.55000305175781,2020-03-13
78.1500015258789,2020-03-16
74.6500015258789,2020-03-17
70.8499984741211,2020-03-18
69.4000015258789,2020-03-19
80.80000305175781,2020-03-20
78.0,2020-03-23
76.44999694824219,2020-03-24
75.55000305175781,2020-03-25
73.0999984741211,2020-03-26
69.5,2020-03-27
70.8499984741211,2020-03-30
76.55000305175781,2020-03-31
75.75,2020-04-01
80.9000015258789,2020-04-03
84.5,2020-04-07
85.55000305175781,2020-04-08
87.75,2020-04-09
86.05000305175781,2020-04-13
86.5999984741211,2020-04-15
89.25,2020-04-16
89.69999694824219,2020-04-17
87.4000015258789,2020-04-20
82.5,2020-04-21
84.19999694824219,2020-04-22
83.25,2020-04-23
81.5,2020-04-24
81.69999694824219,2020-04-27
84.55000305175781,2020-04-28
89.0999984741211,2020-04-29
95.69999694824219,2020-04-30
93.5,2020-05-04
91.0999984741211,2020-05-05
94.69999694824219,2020-05-06
91.5,2020-05-07
91.3499984741211,2020-05-08
92.05000305175781,2020-05-11
88.69999694824219,2020-05-12
89.3499984741211,2020-05-13
85.44999694824219,2020-05-14
85.80000305175781,2020-05-15
81.0,2020-05-18
81.8499984741211,2020-05-19
86.25,2020-05-20
87.94999694824219,2020-05-21
87.19999694824219,2020-05-22
88.1500015258789,2020-05-26
88.5999984741211,2020-05-27
89.0999984741211,2020-05-28
92.3499984741211,2020-05-29
91.94999694824219,2020-06-01
96.55000305175781,2020-06-02
96.3499984741211,2020-06-03
97.25,2020-06-04
97.8499984741211,2020-06-05
104.75,2020-06-08
101.0999984741211,2020-06-09
98.0999984741211,2020-06-10
95.55000305175781,2020-06-11
96.3499984741211,2020-06-12
99.6500015258789,2020-06-15
97.5,2020-06-16
96.25,2020-06-17
97.05000305175781,2020-06-18
99.5,2020-06-19
98.30000305175781,2020-06-22
99.25,2020-06-23
101.4000015258789,2020-06-24
103.0999984741211,2020-06-25
105.1500015258789,2020-06-26
103.5999984741211,2020-06-29
102.1500015258789,2020-06-30
102.94999694824219,2020-07-01
103.5,2020-07-02
104.9000015258789,2020-07-03
103.69999694824219,2020-07-06
102.8499984741211,2020-07-07
102.69999694824219,2020-07-08
105.55000305175781,2020-07-09
102.4000015258789,2020-07-10
101.0999984741211,2020-07-13
99.05000305175781,2020-07-14
96.94999694824219,2020-07-15
96.75,2020-07-16
100.8499984741211,2020-07-17
100.19999694824219,2020-07-20
103.80000305175781,2020-07-21
101.94999694824219,2020-07-22
102.30000305175781,2020-07-23
99.55000305175781,2020-07-24
97.5,2020-07-27
97.5999984741211,2020-07-28
98.80000305175781,2020-07-29
96.5999984741211,2020-07-30
96.6500015258789,2020-07-31
94.0999984741211,2020-08-03
93.1500015258789,2020-08-04
93.30000305175781,2020-08-05
95.6500015258789,2020-08-06
96.9000015258789,2020-08-07
97.05000305175781,2020-08-10
