0,Numbers
966.5906922425966,100
967.5177782008104,101
967.7557797179215,102
967.6526691457402,103
967.3771841460766,104
967.0008202258941,105
966.5449847103991,106
966.0068673715723,107
965.3734915682653,108
964.6281199130099,109
963.7573211689487,110
962.7496891164737,111
961.600429837199,112
960.3095433311246,113
958.8811209596315,114
957.3233041185995,115
955.6487388341156,116
953.8727987065213,117
952.010816009275,118
950.0819664159208,119
948.1047230429976,120
946.0969804306878,121
944.0768810804693,122
942.0600878808618,123
940.0608586063754,124
938.0921285712757,125
936.1646840919311,126
934.2846415469721,127
932.4598117172172,128
930.6929635038032,129
